@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
67,'2018/09/14 15:06:50:272',73,0.284354,-0.21374,-0.233192,0.01556,1.154675,0.122382,0.040896,0.601121,0.05301,-0.607416,-0.607585,0.064795,-0.485744,-0.95863,-0.990922,-0.300138,1,?
68,'2018/09/14 15:06:50:587',75,0.234256,-0.340666,-0.409664,-0.00464,1.154675,0.056116,-0.111144,0.624493,0.019808,-0.666073,-0.624885,0.047442,-0.523941,-0.96054,-1.015065,-0.389378,1,?
69,'2018/09/14 15:06:50:738',76,0.176893,-0.365199,-0.532997,-0.064049,1.154587,-0.116934,-0.197757,0.643712,-0.005391,-0.672954,-0.628852,0.045393,-0.543284,-1.000818,-1.023015,-0.436924,1,?
70,'2018/09/14 15:06:51:386',77,-0.074929,-0.323502,-0.842188,-0.185367,0.667737,-0.34369,-0.308206,0.682426,-0.041533,-0.706438,-0.665449,0.047728,-0.624219,-1.142366,-1.089261,-0.477678,1,?
71,'2018/09/14 15:06:51:571',78,-0.027563,-0.272725,-0.736695,-0.158784,0.780997,-0.339789,-0.316443,0.726973,-0.003018,-0.707638,-0.658976,0.065654,-0.510329,-1.097483,-0.993001,-0.428889,1,?
72,'2018/09/14 15:06:51:721',79,-0.038818,-0.237514,-0.658361,-0.163678,0.80564,-0.320012,-0.255249,0.726973,0.023802,-0.689646,-0.643509,0.090861,-0.445432,-1.078756,-0.953556,-0.407688,1,?
73,'2018/09/14 15:06:51:903',80,-0.057655,-0.17853,-0.529248,-0.185876,0.806713,-0.305048,-0.210395,0.726973,0.054019,-0.633542,-0.610045,0.117304,-0.401318,-1.085886,-0.918882,-0.404609,1,?
74,'2018/09/14 15:06:52:053',81,-0.049207,-0.149823,-0.46023,-0.183746,0.806713,-0.301921,-0.185301,0.726973,0.075996,-0.589771,-0.591159,0.131993,-0.402131,-1.095751,-0.906424,-0.411474,1,?
75,'2018/09/14 15:06:52:203',82,-0.006817,-0.1505,-0.433196,-0.136375,0.810091,-0.301921,-0.208714,0.727632,0.089475,-0.558745,-0.582904,0.137031,-0.413091,-1.078126,-0.900131,-0.414924,1,?
76,'2018/09/14 15:06:52:370',83,0.077245,-0.181805,-0.423839,-0.027739,0.806927,-0.301559,-0.277857,0.730259,0.109842,-0.531516,-0.564497,0.133732,-0.423217,-1.028017,-0.889999,-0.427798,1,?
77,'2018/09/14 15:06:52:537',84,0.122038,-0.217286,-0.420948,0.061749,0.774398,-0.325144,-0.306368,0.728969,0.162283,-0.515631,-0.531292,0.140806,-0.427824,-1.001836,-0.880408,-0.444505,1,?
