@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
8122,'2018/08/17 13:18:56:054',16385,0.029199,-0.406855,-0.203579,0.091152,0.662965,-0.377005,-0.19189,0.460203,0.228337,-0.475423,-0.535136,0.270737,0.00064,-0.802579,-0.595109,0.147888,1,1
8123,'2018/08/17 13:18:56:069',16385,0.041888,-0.395371,-0.201109,0.096146,0.662965,-0.376978,-0.191789,0.460249,0.223871,-0.473254,-0.529508,0.269537,-0.000483,-0.801259,-0.587877,0.147892,1,1
8124,'2018/08/17 13:18:56:086',16387,0.049393,-0.390442,-0.199998,0.098916,0.662965,-0.376978,-0.191687,0.460033,0.221452,-0.472632,-0.52692,0.269314,-0.000909,-0.800461,-0.584054,0.147704,1,1
8125,'2018/08/17 13:18:56:103',16389,0.056897,-0.385514,-0.198886,0.101685,0.662965,-0.376978,-0.191585,0.459817,0.219033,-0.47201,-0.524331,0.269091,-0.001335,-0.799664,-0.580231,0.147517,1,1
8126,'2018/08/17 13:18:56:119',16391,0.064402,-0.380585,-0.197775,0.104454,0.662965,-0.376978,-0.191483,0.459601,0.216614,-0.471388,-0.521743,0.268868,-0.00176,-0.798866,-0.576408,0.14733,1,1
8127,'2018/08/17 13:18:56:135',16393,0.071907,-0.375656,-0.196663,0.107224,0.662965,-0.376978,-0.191382,0.459386,0.214195,-0.470767,-0.519155,0.268645,-0.002186,-0.798068,-0.572585,0.147143,1,1
8128,'2018/08/17 13:18:56:153',16397,0.079411,-0.370727,-0.195551,0.109993,0.662965,-0.376978,-0.19128,0.45917,0.211776,-0.470145,-0.516566,0.268422,-0.002612,-0.797271,-0.568762,0.146956,1,1
8129,'2018/08/17 13:18:56:168',16397,0.086916,-0.365799,-0.19444,0.112763,0.662965,-0.376978,-0.191178,0.458954,0.209357,-0.469523,-0.513978,0.268198,-0.003037,-0.796473,-0.564939,0.146769,1,1
8130,'2018/08/17 13:18:56:185',16399,0.102762,-0.357509,-0.192466,0.118869,0.661602,-0.376978,-0.19066,0.458301,0.204401,-0.469272,-0.5098,0.268619,-0.003698,-0.795028,-0.558021,0.146137,1,1
8131,'2018/08/17 13:18:56:202',16401,0.118609,-0.349219,-0.190493,0.124976,0.660238,-0.376978,-0.190142,0.457647,0.199446,-0.469021,-0.505621,0.26904,-0.004359,-0.793582,-0.551104,0.145505,1,1
