@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
75,'2018/08/17 15:39:15:117',150,0.339689,0.120733,0.102874,0.45853,1.124332,0.402772,0.430207,1.192614,0.382934,-0.023151,0.083279,0.312693,0.176978,-0.20924,-0.345289,0.219722,1,1
76,'2018/08/17 15:39:15:134',152,0.346693,0.122477,0.102075,0.466157,1.124332,0.401277,0.430158,1.192727,0.388041,-0.02433,0.085969,0.312163,0.175207,-0.21108,-0.351429,0.217608,1,1
77,'2018/08/17 15:39:15:150',154,0.349413,0.122362,0.101816,0.469332,1.124332,0.400128,0.430108,1.192727,0.389947,-0.024592,0.086609,0.311747,0.173925,-0.211819,-0.353887,0.216155,1,1
78,'2018/08/17 15:39:15:167',156,0.353353,0.121254,0.101229,0.474824,1.124332,0.396857,0.429747,1.192727,0.392584,-0.02428,0.087321,0.310528,0.170502,-0.21271,-0.356696,0.213036,1,1
79,'2018/08/17 15:39:15:184',158,0.357292,0.120146,0.100643,0.480317,1.124332,0.393586,0.429386,1.192727,0.395221,-0.023967,0.088033,0.309308,0.167079,-0.2136,-0.359504,0.209916,1,1
80,'2018/08/17 15:39:15:200',160,0.361231,0.119038,0.100056,0.485809,1.124332,0.390314,0.429025,1.192727,0.397858,-0.023655,0.088744,0.308089,0.163655,-0.214491,-0.362313,0.206797,1,1
81,'2018/08/17 15:39:15:217',162,0.365171,0.11793,0.099469,0.491301,1.124332,0.387043,0.428665,1.192727,0.400496,-0.023343,0.089456,0.30687,0.160232,-0.215381,-0.365121,0.203678,1,1
82,'2018/08/17 15:39:15:233',164,0.36911,0.116822,0.098882,0.496793,1.124332,0.384921,0.428353,1.192727,0.403133,-0.023031,0.090168,0.30565,0.156808,-0.216271,-0.36793,0.200558,1,1
83,'2018/08/17 15:39:15:250',166,0.370328,0.115828,0.098555,0.499109,1.124332,0.382799,0.428042,1.192727,0.403865,-0.022456,0.090238,0.304847,0.154666,-0.216422,-0.36828,0.198892,1,1
84,'2018/08/17 15:39:15:267',168,0.371547,0.114834,0.098227,0.501426,1.124332,0.380677,0.427731,1.192727,0.404597,-0.021881,0.090309,0.304044,0.152524,-0.216572,-0.368631,0.197225,1,1
85,'2018/08/17 15:39:15:283',170,0.372766,0.11384,0.097899,0.503743,1.124332,0.378555,0.427419,1.192727,0.405329,-0.021307,0.09038,0.30324,0.150382,-0.216723,-0.368981,0.195559,1,1
86,'2018/08/17 15:39:15:300',172,0.373984,0.112847,0.097572,0.506059,1.124332,0.376433,0.427108,1.192727,0.40606,-0.020732,0.09045,0.302437,0.14824,-0.216873,-0.369332,0.193892,1,1
87,'2018/08/17 15:39:15:317',174,0.375096,0.111004,0.097173,0.509871,1.123978,0.374091,0.426797,1.192727,0.407157,-0.019161,0.090659,0.300512,0.143525,-0.216707,-0.368077,0.191105,1,1
88,'2018/08/17 15:39:15:333',176,0.374989,0.110154,0.097101,0.511365,1.123624,0.373872,0.426797,1.192727,0.407523,-0.018164,0.090797,0.29939,0.140952,-0.21639,-0.366473,0.189984,1,1
89,'2018/08/17 15:39:15:350',178,0.374882,0.109305,0.09703,0.51286,1.12327,0.373652,0.426797,1.192727,0.407888,-0.017168,0.090936,0.298268,0.138379,-0.216074,-0.364868,0.188863,1,1
90,'2018/08/17 15:39:15:366',180,0.374775,0.108456,0.096958,0.514355,1.122916,0.373432,0.426797,1.192727,0.408253,-0.016171,0.091074,0.297147,0.135806,-0.215757,-0.363263,0.187742,1,1
91,'2018/08/17 15:39:15:383',182,0.374667,0.107607,0.096887,0.515849,1.122563,0.373212,0.426797,1.192727,0.408619,-0.015175,0.091212,0.296025,0.133232,-0.21544,-0.361658,0.186621,1,1
92,'2018/08/17 15:39:15:416',186,0.37456,0.106758,0.096815,0.517344,1.122209,0.372992,0.426797,1.192727,0.408984,-0.014178,0.09135,0.294903,0.130659,-0.215123,-0.360053,0.1855,1,1
93,'2018/08/17 15:39:15:433',188,0.373467,0.105512,0.097122,0.519676,1.120298,0.372772,0.426797,1.191136,0.410049,-0.01236,0.091749,0.292689,0.12579,-0.214308,-0.356015,0.183911,1,1
94,'2018/08/17 15:39:15:449',190,0.372374,0.104265,0.097429,0.522007,1.118387,0.372552,0.426797,1.189545,0.411114,-0.010542,0.092148,0.290475,0.120921,-0.213493,-0.351977,0.182322,1,1
95,'2018/08/17 15:39:15:449',190,0.371281,0.103019,0.097736,0.524339,1.116476,0.372332,0.426797,1.187954,0.412179,-0.008724,0.092547,0.288261,0.116052,-0.212678,-0.34794,0.180733,1,1
96,'2018/08/17 15:39:15:481',194,0.370188,0.101772,0.098043,0.526671,1.114565,0.372112,0.426797,1.186363,0.413244,-0.006906,0.092946,0.286048,0.111184,-0.211863,-0.343902,0.179144,1,1
97,'2018/08/17 15:39:15:498',196,0.369202,0.101375,0.098422,0.527508,1.113008,0.372112,0.426797,1.184773,0.413944,-0.006084,0.093207,0.284955,0.108888,-0.211365,-0.341469,0.178676,1,1
98,'2018/08/17 15:39:15:515',198,0.366854,0.100997,0.099578,0.528647,1.109973,0.37176,0.426797,1.181134,0.415933,-0.005027,0.093699,0.283137,0.105056,-0.210543,-0.336685,0.178238,1,1
99,'2018/08/17 15:39:15:531',200,0.364506,0.100619,0.100735,0.529786,1.106938,0.371409,0.426797,1.177495,0.417921,-0.00397,0.09419,0.281319,0.101224,-0.209722,-0.331902,0.1778,1,1
100,'2018/08/17 15:39:15:548',202,0.362158,0.100241,0.101891,0.530924,1.103904,0.371058,0.426797,1.173857,0.41991,-0.002912,0.094682,0.279501,0.097392,-0.2089,-0.327119,0.177362,1,1
101,'2018/08/17 15:39:15:564',204,0.35981,0.099863,0.103048,0.532063,1.100869,0.370706,0.426797,1.170218,0.421899,-0.001855,0.095174,0.277683,0.09356,-0.208078,-0.322336,0.176924,1,1
102,'2018/08/17 15:39:15:591',206,0.357461,0.099485,0.104204,0.533202,1.097834,0.370355,0.426797,1.166579,0.423888,-0.000798,0.095665,0.275865,0.089728,-0.207256,-0.317552,0.176486,1,1
103,'2018/08/17 15:39:15:591',206,0.356099,0.099505,0.104982,0.533504,1.096356,0.370003,0.426797,1.164532,0.425177,-0.000562,0.095896,0.275139,0.088192,-0.206933,-0.315202,0.176516,1,1
104,'2018/08/17 15:39:15:615',210,0.353913,0.100175,0.10594,0.534084,1.094138,0.369308,0.426797,1.161106,0.428004,-0.000575,0.096085,0.274075,0.085721,-0.206666,-0.311013,0.17658,1,1
105,'2018/08/17 15:39:15:631',212,0.351727,0.100846,0.106898,0.534663,1.091919,0.368613,0.426797,1.15768,0.430831,-0.000587,0.096274,0.273011,0.083249,-0.206399,-0.306823,0.176645,1,1
106,'2018/08/17 15:39:15:648',214,0.34954,0.101517,0.107856,0.535242,1.089701,0.367918,0.426797,1.154254,0.433658,-0.000599,0.096463,0.271946,0.080777,-0.206132,-0.302634,0.176709,1,1
107,'2018/08/17 15:39:15:665',216,0.347354,0.102188,0.108814,0.535821,1.087482,0.367224,0.426797,1.150828,0.436485,-0.000611,0.096652,0.270882,0.078306,-0.205865,-0.298445,0.176773,1,1
108,'2018/08/17 15:39:15:681',218,0.34653,0.102839,0.108994,0.536098,1.086741,0.36688,0.426797,1.14945,0.438023,-0.000859,0.09661,0.270543,0.07737,-0.205922,-0.296606,0.176808,1,1
109,'2018/08/17 15:39:15:698',220,0.345807,0.104831,0.10771,0.536805,1.085932,0.366939,0.426733,1.147213,0.440731,-0.001384,0.096234,0.270073,0.075631,-0.206388,-0.293476,0.176706,1,1
110,'2018/08/17 15:39:15:714',222,0.345084,0.106823,0.106427,0.537512,1.085122,0.366997,0.426669,1.144975,0.443438,-0.00191,0.095857,0.269602,0.073892,-0.206854,-0.290347,0.176605,1,1
111,'2018/08/17 15:39:15:731',224,0.344361,0.108814,0.105143,0.538219,1.084313,0.367056,0.426606,1.142738,0.446146,-0.002435,0.095481,0.269132,0.072153,-0.20732,-0.287218,0.176504,1,1
112,'2018/08/17 15:39:15:747',226,0.343639,0.110806,0.103859,0.538925,1.083504,0.367114,0.426542,1.1405,0.448853,-0.00296,0.095105,0.268662,0.070414,-0.207787,-0.284088,0.176402,1,1
113,'2018/08/17 15:39:15:764',228,0.342916,0.112798,0.102575,0.539632,1.082694,0.367173,0.426478,1.138262,0.451561,-0.003485,0.094728,0.268191,0.068675,-0.208253,-0.280959,0.176301,1,1
114,'2018/08/17 15:39:15:781',230,0.343017,0.114138,0.101111,0.540062,1.082626,0.367575,0.426415,1.137403,0.45273,-0.003763,0.094393,0.268059,0.067871,-0.208663,-0.279669,0.176165,1,1
115,'2018/08/17 15:39:15:797',232,0.343884,0.117101,0.097209,0.541043,1.082557,0.366801,0.426585,1.136436,0.454385,-0.003862,0.093634,0.268201,0.066187,-0.2096,-0.277448,0.176052,1,1
116,'2018/08/17 15:39:15:814',234,0.344751,0.120063,0.093306,0.542024,1.082489,0.366027,0.426755,1.13547,0.45604,-0.003961,0.092875,0.268343,0.064502,-0.210537,-0.275227,0.175939,1,1
117,'2018/08/17 15:39:15:829',236,0.345617,0.123025,0.089404,0.543005,1.08242,0.365253,0.426925,1.134503,0.457695,-0.004061,0.092115,0.268484,0.062817,-0.211474,-0.273006,0.175825,1,1
